year,variable,mean,std,min,q1,median,q3,max
1950,VAR_10U,-0.07829320430755615,5.356931209564209,-37.10504150390625,-3.8174591064453125,-0.357574462890625,3.0930938720703125,35.805877685546875
1951,VAR_10U,-0.11068029701709747,5.309621334075928,-39.05094909667969,-3.7982940673828125,-0.3834381103515625,3.0326995849609375,31.660446166992188
1952,VAR_10U,-0.08032479882240295,5.353689670562744,-35.58470153808594,-3.795989990234375,-0.379241943359375,3.05499267578125,44.052276611328125
1953,VAR_10U,-0.020267684012651443,5.357237339019775,-34.87272644042969,-3.762481689453125,-0.309356689453125,3.20703125,33.87532043457031
1954,VAR_10U,-0.04613727703690529,5.429068088531494,-35.80427551269531,-3.8378448486328125,-0.3420257568359375,3.1643218994140625,30.884262084960938
1955,VAR_10U,-0.11496912688016891,5.370859146118164,-34.1209716796875,-3.8769073486328125,-0.371490478515625,3.1090087890625,29.524215698242188
1956,VAR_10U,-0.02924306131899357,5.345057964324951,-34.29347229003906,-3.7681121826171875,-0.282379150390625,3.2258758544921875,34.633758544921875
1957,VAR_10U,-0.11470983177423477,5.315042972564697,-33.575439453125,-3.81256103515625,-0.38134765625,3.079376220703125,33.496826171875
1958,VAR_10U,-0.024101192131638527,5.359739780426025,-33.01835632324219,-3.7395782470703125,-0.3067779541015625,3.1688690185546875,29.357437133789062
1959,VAR_10U,-0.01875804364681244,5.37654447555542,-34.85820007324219,-3.7682037353515625,-0.30364990234375,3.2242279052734375,34.95491027832031
1960,VAR_10U,-0.05312620848417282,5.338808536529541,-34.9044189453125,-3.777496337890625,-0.3506011962890625,3.1281890869140625,30.2725830078125
1961,VAR_10U,-0.07668569684028625,5.426845073699951,-37.34417724609375,-3.863525390625,-0.3407440185546875,3.17138671875,38.94488525390625
1962,VAR_10U,-0.012899410910904408,5.407764434814453,-36.30870056152344,-3.76861572265625,-0.30108642578125,3.2196807861328125,34.673126220703125
1963,VAR_10U,-0.03189467638731003,5.32813835144043,-36.60801696777344,-3.725006103515625,-0.3300323486328125,3.1285400390625,34.20252990722656
1964,VAR_10U,-0.0618046335875988,5.380511283874512,-35.156585693359375,-3.8094329833984375,-0.33599853515625,3.1833648681640625,30.03076171875
1965,VAR_10U,-0.1164591908454895,5.338544845581055,-35.85882568359375,-3.798919677734375,-0.3801727294921875,3.06561279296875,32.45036315917969
1966,VAR_10U,-0.08213229477405548,5.32694673538208,-32.81048583984375,-3.7754669189453125,-0.3523712158203125,3.11151123046875,31.483505249023438
1967,VAR_10U,-0.03612127527594566,5.418636322021484,-35.759521484375,-3.8212432861328125,-0.2884674072265625,3.2549285888671875,35.338592529296875
1968,VAR_10U,-0.04065893590450287,5.286159038543701,-33.58427429199219,-3.68377685546875,-0.3305206298828125,3.0989990234375,29.665451049804688
1969,VAR_10U,-0.07481929659843445,5.337499141693115,-31.05291748046875,-3.7451324462890625,-0.3851165771484375,3.078216552734375,30.861663818359375
1970,VAR_10U,-0.06789855659008026,5.40156364440918,-37.286041259765625,-3.82373046875,-0.324310302734375,3.165313720703125,33.690521240234375
1971,VAR_10U,-0.09991377592086792,5.358583927154541,-34.573638916015625,-3.8280792236328125,-0.340057373046875,3.1229400634765625,30.537063598632812
1972,VAR_10U,-0.06956201046705246,5.328318119049072,-36.36061096191406,-3.719390869140625,-0.3303375244140625,3.0823211669921875,31.086685180664062
1973,VAR_10U,0.006895172875374556,5.434706211090088,-33.30815124511719,-3.8086700439453125,-0.2775115966796875,3.29443359375,30.039306640625
1974,VAR_10U,-0.03172290697693825,5.442336082458496,-33.353790283203125,-3.81268310546875,-0.3394012451171875,3.219970703125,33.71086120605469
1975,VAR_10U,-0.04748733341693878,5.405258655548096,-35.84222412109375,-3.8373565673828125,-0.3095245361328125,3.2099609375,33.856781005859375
1976,VAR_10U,0.016542799770832062,5.397601127624512,-33.07966613769531,-3.7411956787109375,-0.2748565673828125,3.2379150390625,29.2099609375
1977,VAR_10U,-0.10699527710676193,5.385641098022461,-39.87294006347656,-3.8647308349609375,-0.379119873046875,3.10491943359375,33.22972106933594
1978,VAR_10U,-0.030880440026521683,5.417830944061279,-32.93394470214844,-3.8163299560546875,-0.3212738037109375,3.204864501953125,28.034347534179688
1979,VAR_10U,-0.03965647146105766,5.5166916847229,-35.193695068359375,-3.8740386962890625,-0.3831787109375,3.1800079345703125,32.1292724609375
1980,VAR_10U,-0.06343875080347061,5.4757561683654785,-93.19383239746094,-3.8753662109375,-0.3349609375,3.209930419921875,30.920455932617188
1981,VAR_10U,-0.03874139487743378,5.507022857666016,-33.02363586425781,-3.8919830322265625,-0.337493896484375,3.256591796875,31.597381591796875
1982,VAR_10U,-0.046495869755744934,5.507900238037109,-35.08082580566406,-3.875732421875,-0.3573150634765625,3.177032470703125,30.6822509765625
1983,VAR_10U,0.0018390053883194923,5.5249152183532715,-37.13636779785156,-3.825958251953125,-0.316192626953125,3.268890380859375,38.41786193847656
1984,VAR_10U,-0.05941738560795784,5.475454330444336,-33.04823303222656,-3.8758544921875,-0.36181640625,3.2088623046875,29.6612548828125
1985,VAR_10U,-0.09808577597141266,5.529972076416016,-38.05476379394531,-3.954010009765625,-0.39886474609375,3.1473541259765625,28.793136596679688
1986,VAR_10U,0.014314859174191952,5.499611854553223,-84.87889099121094,-3.8165740966796875,-0.2871551513671875,3.2822418212890625,37.7747802734375
1987,VAR_10U,-0.06556922942399979,5.519699573516846,-146.71746826171875,-3.8800506591796875,-0.386962890625,3.1514892578125,35.54695129394531
1988,VAR_10U,-0.04955492168664932,5.513009071350098,-36.7091064453125,-3.914154052734375,-0.3312530517578125,3.2634124755859375,30.589157104492188
1989,VAR_10U,0.001167356502264738,5.557537078857422,-80.64878845214844,-3.880584716796875,-0.2767333984375,3.3095703125,35.13349914550781
1990,VAR_10U,-0.03761889785528183,5.58091402053833,-33.27027893066406,-3.943115234375,-0.3240509033203125,3.3116912841796875,35.312896728515625
1991,VAR_10U,0.018807027488946915,5.50355863571167,-36.11964416503906,-3.8198394775390625,-0.278106689453125,3.3226318359375,32.48262023925781
1992,VAR_10U,0.05107855424284935,5.453031539916992,-42.95741271972656,-3.7290191650390625,-0.227081298828125,3.320709228515625,31.196990966796875
1993,VAR_10U,0.05469810962677002,5.5403242111206055,-38.542938232421875,-3.8009033203125,-0.2964019775390625,3.32177734375,34.037139892578125
1994,VAR_10U,0.047143395990133286,5.524489402770996,-32.91944885253906,-3.7952423095703125,-0.2636871337890625,3.3211212158203125,31.085067749023438
1995,VAR_10U,-0.05592517554759979,5.490139484405518,-37.03224182128906,-3.90069580078125,-0.3654632568359375,3.1965789794921875,34.31062316894531
1996,VAR_10U,-0.06126145273447037,5.521724700927734,-33.82609558105469,-3.927032470703125,-0.3437957763671875,3.26287841796875,32.07579040527344
1997,VAR_10U,0.03557394817471504,5.527498722076416,-37.7032470703125,-3.7891998291015625,-0.270782470703125,3.3416595458984375,35.3377685546875
1998,VAR_10U,-0.07288385182619095,5.651214599609375,-38.65019226074219,-4.0375213623046875,-0.405242919921875,3.253265380859375,32.709564208984375
1999,VAR_10U,-0.06639937311410904,5.602197647094727,-32.977630615234375,-4.0123138427734375,-0.38568115234375,3.2608184814453125,30.872146606445312
2000,VAR_10U,-0.11423424631357193,5.562709331512451,-33.68536376953125,-4.043212890625,-0.4181671142578125,3.20159912109375,32.01971435546875
2001,VAR_10U,-0.07042060047388077,5.581544876098633,-34.18470764160156,-3.9854888916015625,-0.3684844970703125,3.252166748046875,31.128829956054688
2002,VAR_10U,-0.07668673992156982,5.5197834968566895,-37.10261535644531,-3.9486541748046875,-0.334869384765625,3.23907470703125,28.88519287109375
2003,VAR_10U,-0.07721731811761856,5.5132036209106445,-34.293243408203125,-3.9504547119140625,-0.3489227294921875,3.2431640625,31.107498168945312
2004,VAR_10U,-0.09149095416069031,5.536334991455078,-38.139739990234375,-3.979248046875,-0.39251708984375,3.1961517333984375,30.246917724609375
2005,VAR_10U,-0.08098482340574265,5.520432949066162,-36.86785888671875,-3.94354248046875,-0.3670196533203125,3.228179931640625,31.8056640625
2006,VAR_10U,-0.07897695899009705,5.587207317352295,-35.81190490722656,-3.9860076904296875,-0.37603759765625,3.2449951171875,31.531021118164062
2007,VAR_10U,-0.15748068690299988,5.620584964752197,-35.05316162109375,-4.1103363037109375,-0.4174957275390625,3.1879730224609375,30.84521484375
2008,VAR_10U,-0.07805507630109787,5.609118461608887,-34.81800842285156,-4.0474395751953125,-0.3848419189453125,3.2760467529296875,29.81072998046875
2009,VAR_10U,-0.12351557612419128,5.503683090209961,-33.58161926269531,-3.9634246826171875,-0.3990325927734375,3.159088134765625,41.53462219238281
2010,VAR_10U,-0.15038961172103882,5.650709629058838,-35.1114501953125,-4.121734619140625,-0.46966552734375,3.1697540283203125,30.19732666015625
2011,VAR_10U,-0.1382676661014557,5.594444274902344,-36.883148193359375,-4.0893096923828125,-0.406982421875,3.1915740966796875,29.601089477539062
2012,VAR_10U,-0.0903589278459549,5.574993133544922,-33.556793212890625,-3.986785888671875,-0.3884124755859375,3.2090301513671875,30.504318237304688
