variable,mean,std,min,q1,median,q3,max
VAR_2T,278.1904,21.443056,188.6533203125,268.2989196777344,283.1420689412992,296.1671991217626,326.940673828125
VAR_10U,-0.052031662,5.4822507,-146.71746826171875,-3.877465653092894,-0.3445369772715111,3.2138347887013055,44.052276611328125
VAR_10V,0.18858235,4.711877,-50.864898681640625,-2.657002279203232,0.2336434142230308,3.1416525644798803,132.7655029296875
