year,variable,mean,std,min,q1,median,q3,max
2015,VAR_10U,0.03286443650722504,5.618763446807861,-37.41444396972656,-3.864501953125,-0.3097381591796875,3.3407745361328125,32.83534240722656
2016,VAR_10U,0.050120759755373,5.601410865783691,-38.42608642578125,-3.85443115234375,-0.29754638671875,3.3813323974609375,63.22392272949219
2017,VAR_10U,-0.05034271255135536,5.604218482971191,-35.540191650390625,-3.996002197265625,-0.349029541015625,3.2979278564453125,31.992782592773438
2018,VAR_10U,-0.05056235194206238,5.611244201660156,-36.096038818359375,-3.9725341796875,-0.351043701171875,3.2924041748046875,34.624053955078125
2019,VAR_10U,-0.10996098071336746,5.506924629211426,-39.46455383300781,-3.9646453857421875,-0.419036865234375,3.1235809326171875,30.444320678710938
2020,VAR_10U,-0.01616908423602581,5.614424705505371,-34.71418762207031,-3.97314453125,-0.32342529296875,3.3648834228515625,33.95637512207031
2021,VAR_10U,-0.038679901510477066,5.635843753814697,-38.96266174316406,-4.00128173828125,-0.366607666015625,3.3148040771484375,34.6624755859375
2022,VAR_10U,-0.03019946627318859,5.628046989440918,-37.769775390625,-3.98095703125,-0.3492431640625,3.32183837890625,33.251007080078125
1980,VAR_10V,0.18367727100849152,4.7464141845703125,-33.1131591796875,-2.683746337890625,0.2176055908203125,3.1567230224609375,33.65153503417969
1981,VAR_10V,0.18186454474925995,4.751159191131592,-32.9912109375,-2.6725616455078125,0.235687255859375,3.15771484375,37.39958190917969
1982,VAR_10V,0.18609945476055145,4.737721920013428,-34.549896240234375,-2.6634521484375,0.2346954345703125,3.157928466796875,32.86906433105469
1983,VAR_10V,0.1644623577594757,4.744668006896973,-35.13215637207031,-2.7096405029296875,0.2110748291015625,3.1346435546875,41.92448425292969
1984,VAR_10V,0.18287785351276398,4.723005771636963,-33.4552001953125,-2.641387939453125,0.2087249755859375,3.101898193359375,120.25630187988281
1985,VAR_10V,0.14488549530506134,4.725248336791992,-31.31689453125,-2.6811370849609375,0.1836395263671875,3.0821990966796875,82.8609619140625
1986,VAR_10V,0.18937918543815613,4.7370524406433105,-37.236968994140625,-2.6717681884765625,0.244049072265625,3.1546173095703125,38.45518493652344
1987,VAR_10V,0.1758660227060318,4.731747150421143,-33.60308837890625,-2.6819610595703125,0.2352447509765625,3.15069580078125,39.02333068847656
1988,VAR_10V,0.21137456595897675,4.723094463348389,-33.202301025390625,-2.6473541259765625,0.26220703125,3.1775360107421875,37.305389404296875
1989,VAR_10V,0.21276161074638367,4.74113655090332,-34.619964599609375,-2.65032958984375,0.264129638671875,3.1783447265625,36.1871337890625
1990,VAR_10V,0.2407616823911667,4.785369873046875,-32.637786865234375,-2.65771484375,0.295654296875,3.2447357177734375,35.26507568359375
1991,VAR_10V,0.2066248208284378,4.769144058227539,-36.15852355957031,-2.6836090087890625,0.24169921875,3.19317626953125,38.00679016113281
1992,VAR_10V,0.18160605430603027,4.743086338043213,-159.21847534179688,-2.7030487060546875,0.229217529296875,3.1631317138671875,35.851531982421875
1993,VAR_10V,0.15947605669498444,4.758786201477051,-37.320770263671875,-2.70281982421875,0.2127838134765625,3.123443603515625,166.60025024414062
1994,VAR_10V,0.20767351984977722,4.727995872497559,-35.58551025390625,-2.654998779296875,0.261077880859375,3.1824188232421875,35.83671569824219
1995,VAR_10V,0.16701529920101166,4.760294437408447,-35.564208984375,-2.704010009765625,0.2129364013671875,3.14990234375,41.54283142089844
1996,VAR_10V,0.1891070157289505,4.778000831604004,-33.592803955078125,-2.688507080078125,0.2368011474609375,3.166046142578125,37.140594482421875
1997,VAR_10V,0.19940632581710815,4.791316032409668,-99.96952819824219,-2.70654296875,0.2524566650390625,3.2194671630859375,132.7655029296875
1998,VAR_10V,0.1193140521645546,4.7747955322265625,-31.9134521484375,-2.8093719482421875,0.174041748046875,3.14154052734375,36.35118103027344
1999,VAR_10V,0.20495164394378662,4.758028984069824,-43.129150390625,-2.644195556640625,0.254974365234375,3.188995361328125,39.435394287109375
2000,VAR_10V,0.17908036708831787,4.747058391571045,-35.67572021484375,-2.6903839111328125,0.218963623046875,3.15869140625,35.445770263671875
2001,VAR_10V,0.1966349184513092,4.771536350250244,-32.67036437988281,-2.6845855712890625,0.2401123046875,3.1982574462890625,31.90399169921875
2002,VAR_10V,0.1894448846578598,4.790694713592529,-33.50358581542969,-2.7388763427734375,0.2216796875,3.2193756103515625,35.97528076171875
2003,VAR_10V,0.21344874799251556,4.786570072174072,-35.342498779296875,-2.6912384033203125,0.2682952880859375,3.23779296875,59.9027099609375
2004,VAR_10V,0.16765378415584564,4.7800493240356445,-66.88151550292969,-2.733978271484375,0.2086334228515625,3.18072509765625,37.379638671875
2005,VAR_10V,0.2006131410598755,4.79014778137207,-43.1390380859375,-2.7009124755859375,0.24566650390625,3.221405029296875,36.89654541015625
2006,VAR_10V,0.20300911366939545,4.787563323974609,-35.65728759765625,-2.688018798828125,0.248565673828125,3.21417236328125,38.79203796386719
2007,VAR_10V,0.21401965618133545,4.801607608795166,-33.120086669921875,-2.683929443359375,0.2496490478515625,3.2198944091796875,92.23429870605469
2008,VAR_10V,0.17520876228809357,4.772222995758057,-32.99726867675781,-2.677490234375,0.2424468994140625,3.163116455078125,36.031951904296875
2009,VAR_10V,0.1788645088672638,4.791215896606445,-56.109344482421875,-2.7043609619140625,0.2152099609375,3.1735076904296875,34.244537353515625
2010,VAR_10V,0.17968592047691345,4.785922527313232,-34.657867431640625,-2.6960296630859375,0.248687744140625,3.2028961181640625,41.224395751953125
2011,VAR_10V,0.23988834023475647,4.814599990844727,-32.7569580078125,-2.63995361328125,0.293243408203125,3.2523956298828125,33.6357421875
2012,VAR_10V,0.19647206366062164,4.789306640625,-34.30928039550781,-2.69091796875,0.23736572265625,3.2132415771484375,35.139373779296875
2013,VAR_10V,0.1927468329668045,4.806730270385742,-38.076568603515625,-2.7214202880859375,0.23724365234375,3.2384490966796875,45.84977722167969
2014,VAR_10V,0.2104760855436325,4.791693687438965,-75.93815612792969,-2.68756103515625,0.267547607421875,3.236114501953125,36.24388122558594
2015,VAR_10V,0.19849899411201477,4.835078716278076,-35.52032470703125,-2.711029052734375,0.244903564453125,3.2315673828125,61.01702880859375
2016,VAR_10V,0.18174447119235992,4.792176246643066,-30.530654907226562,-2.7209625244140625,0.2173309326171875,3.196502685546875,65.58430480957031
2017,VAR_10V,0.21374961733818054,4.79921817779541,-33.578704833984375,-2.6613006591796875,0.261688232421875,3.222564697265625,109.97991943359375
2018,VAR_10V,0.21838214993476868,4.793688774108887,-35.44981384277344,-2.658935546875,0.2629547119140625,3.231689453125,35.56053161621094
2019,VAR_10V,0.1838763803243637,4.777624607086182,-32.08428955078125,-2.6920928955078125,0.2456207275390625,3.1847076416015625,34.108673095703125
2020,VAR_10V,0.2014286071062088,4.830173015594482,-31.746658325195312,-2.70074462890625,0.2612457275390625,3.2323760986328125,38.617706298828125
2021,VAR_10V,0.1776842176914215,4.779839992523193,-35.28401184082031,-2.6958465576171875,0.238739013671875,3.1917266845703125,37.049224853515625
2022,VAR_10V,0.193745955824852,4.7903056144714355,-34.27513122558594,-2.6661376953125,0.2545928955078125,3.1918792724609375,43.27812194824219
1980,VAR_2T,278.3388977050781,21.117589950561523,197.1564178466797,268.1591796875,283.07342529296875,296.1468200683594,323.61236572265625
