year,variable,mean,std,min,q1,median,q3,max
2015,VAR_10U,0.03286447003483772,0.24801450967788696,-0.7268083095550537,-0.13764432072639465,0.03438929468393326,0.2021137923002243,0.7274966835975647
2016,VAR_10U,0.05012107640504837,0.2701684236526489,-0.6832534670829773,-0.114057132974267,0.05618691444396973,0.2179565094411373,0.7854992151260376
2017,VAR_10U,-0.050342857837677,0.26592448353767395,-0.7017565369606018,-0.25088778138160706,-0.0789760947227478,0.1522241346538067,0.6047669053077698
2018,VAR_10U,-0.05056212842464447,0.26747676730155945,-0.8139702677726746,-0.2456672526896,-0.031246764585375786,0.1401945985853672,0.5558141469955444
2019,VAR_10U,-0.10996152460575104,0.2649795114994049,-0.7679649591445923,-0.2921398729085922,-0.10975310206413269,0.08211318589746952,0.5766714215278625
2020,VAR_10U,-0.016169138252735138,0.25178515911102295,-0.6673255562782288,-0.2020915523171425,0.023341193795204163,0.16781936213374138,0.6200441122055054
2021,VAR_10U,-0.038680046796798706,0.2308177947998047,-0.6885282397270203,-0.19282928854227066,-0.05036541819572449,0.12441755272448063,0.692395806312561
2022,VAR_10U,-0.030199438333511353,0.2379123717546463,-0.6921586394309998,-0.20777328312397003,-0.039294302463531494,0.16805819422006607,0.5846279859542847
1980,VAR_10V,0.18367581069469452,0.27817049622535706,-0.4216448962688446,-0.052752538584172726,0.15693782269954681,0.4342796057462692,0.7143204808235168
1981,VAR_10V,0.181864932179451,0.28521421551704407,-0.4026474356651306,-0.04860241711139679,0.14624758064746857,0.4100550636649132,0.8124060034751892
1982,VAR_10V,0.18609869480133057,0.2723610997200012,-0.4000663459300995,-0.05621856637299061,0.16522124409675598,0.43497437983751297,0.8152462840080261
1983,VAR_10V,0.1644613891839981,0.2919638752937317,-0.47302255034446716,-0.09144050814211369,0.14560699462890625,0.4189281538128853,0.8414161801338196
1984,VAR_10V,0.18287783861160278,0.2628941535949707,-0.44394242763519287,-0.032707409001886845,0.13893021643161774,0.4284510090947151,0.7477256655693054
1985,VAR_10V,0.1448860615491867,0.28198930621147156,-0.5075929760932922,-0.09343059174716473,0.15421319007873535,0.3837241306900978,0.7032793760299683
1986,VAR_10V,0.1893795281648636,0.27032434940338135,-0.3607860505580902,-0.0338800773024559,0.17061865329742432,0.42114337533712387,0.7462320327758789
1987,VAR_10V,0.1758638620376587,0.27132338285446167,-0.36196786165237427,-0.06334569305181503,0.183407723903656,0.4016159847378731,0.8018776178359985
1988,VAR_10V,0.21137677133083344,0.29760169982910156,-0.4080520570278168,-0.025537779089063406,0.15171381831169128,0.5066834688186646,0.8713734745979309
1989,VAR_10V,0.21276316046714783,0.27775347232818604,-0.29962295293807983,-0.03286168444901705,0.17385488748550415,0.4784226417541504,0.8188338279724121
1990,VAR_10V,0.240762397646904,0.259429395198822,-0.3440024256706238,0.012662678491324186,0.28011658787727356,0.45499297231435776,0.7720293998718262
1991,VAR_10V,0.20662540197372437,0.2730339467525482,-0.3989303410053253,-0.0030917056719772518,0.18813705444335938,0.4403436705470085,0.8022382855415344
1992,VAR_10V,0.18160706758499146,0.2672354280948639,-0.3910095989704132,-0.05684926174581051,0.186393603682518,0.4120769053697586,0.7316092848777771
1993,VAR_10V,0.15947557985782623,0.24620115756988525,-0.40404483675956726,-0.03674943931400776,0.1738777458667755,0.367483913898468,0.6730246543884277
1994,VAR_10V,0.20767714083194733,0.30735740065574646,-0.4282650053501129,-0.03461546543985605,0.17757084965705872,0.5020261704921722,0.7923023104667664
1995,VAR_10V,0.16701485216617584,0.29984617233276367,-0.4981856942176819,-0.09423013031482697,0.16304415464401245,0.4311811849474907,0.7781417369842529
1996,VAR_10V,0.18910786509513855,0.2775988280773163,-0.356751024723053,-0.04649336077272892,0.1461811065673828,0.4498419538140297,0.7843912243843079
1997,VAR_10V,0.19940729439258575,0.2716658413410187,-0.36786240339279175,-0.02252152096480131,0.16700813174247742,0.4429163560271263,0.8291041851043701
1998,VAR_10V,0.1193138137459755,0.29905641078948975,-0.45388904213905334,-0.14532652124762535,0.10036145150661469,0.3882969990372658,0.7265945672988892
1999,VAR_10V,0.20495107769966125,0.2910112738609314,-0.366698294878006,-0.07786938920617104,0.18011310696601868,0.48711536824703217,0.8199378252029419
2000,VAR_10V,0.17907850444316864,0.2998080253601074,-0.5044551491737366,-0.07434253208339214,0.18183568120002747,0.4559370130300522,0.7920944094657898
2001,VAR_10V,0.1966325044631958,0.2863568663597107,-0.4368323087692261,-0.04075559414923191,0.1793513298034668,0.4636991173028946,0.7408329248428345
2002,VAR_10V,0.18944379687309265,0.29228273034095764,-0.4633901119232178,-0.04527340270578861,0.1840299665927887,0.4509792849421501,0.7400767207145691
2003,VAR_10V,0.2134469449520111,0.27147722244262695,-0.4486200213432312,0.011378980474546552,0.17158234119415283,0.45424067229032516,0.7706459164619446
2004,VAR_10V,0.1676531881093979,0.2682532072067261,-0.421120822429657,-0.05264599435031414,0.15516531467437744,0.4166412726044655,0.7483523488044739
2005,VAR_10V,0.2006135731935501,0.2635100483894348,-0.34005603194236755,-0.03169431909918785,0.1837884783744812,0.44223515689373016,0.7459835410118103
2006,VAR_10V,0.2030084878206253,0.29194673895835876,-0.43096739053726196,-0.04436804726719856,0.1385173499584198,0.48291731625795364,0.9685192704200745
2007,VAR_10V,0.21401859819889069,0.29229632019996643,-0.4300341308116913,-0.061356415040791035,0.23754240572452545,0.4777096286416054,0.8401403427124023
2008,VAR_10V,0.1752079427242279,0.2636512517929077,-0.36748525500297546,-0.062184595502913,0.18679125607013702,0.41225099563598633,0.6601871848106384
2009,VAR_10V,0.17886532843112946,0.2892158031463623,-0.5134268999099731,-0.07988637126982212,0.21767127513885498,0.4301067963242531,0.7356337904930115
2010,VAR_10V,0.1796872466802597,0.28166088461875916,-0.39401140809059143,-0.06755811721086502,0.18220528960227966,0.4232257753610611,0.8377350568771362
2011,VAR_10V,0.23988665640354156,0.2613060474395752,-0.3814072012901306,0.030561172403395176,0.23387117683887482,0.4566928520798683,0.7820746898651123
2012,VAR_10V,0.19647128880023956,0.2764098048210144,-0.3996574282646179,-0.04141165874898434,0.17162802815437317,0.4547388553619385,0.7725781202316284
2013,VAR_10V,0.19274455308914185,0.31634002923965454,-0.4629628658294678,-0.11137508228421211,0.20439773797988892,0.4822239503264427,0.7984567880630493
2014,VAR_10V,0.21047936379909515,0.27660274505615234,-0.322900652885437,-0.039143454283475876,0.18919706344604492,0.4724680781364441,0.706135630607605
2015,VAR_10V,0.19849933683872223,0.263540655374527,-0.35203996300697327,-0.029051693622022867,0.2225285768508911,0.4310123175382614,0.7088380455970764
2016,VAR_10V,0.18174394965171814,0.29546040296554565,-0.4619932770729065,-0.052156977355480194,0.18290925025939941,0.42677268385887146,0.8701273798942566
2017,VAR_10V,0.213748961687088,0.28427913784980774,-0.35303279757499695,-0.03639661334455013,0.15933018922805786,0.4668363854289055,0.8320724368095398
2018,VAR_10V,0.21838180720806122,0.30624040961265564,-0.38819262385368347,-0.04987230245023966,0.21410992741584778,0.5104202330112457,0.8757319450378418
2019,VAR_10V,0.18387696146965027,0.25843381881713867,-0.38527151942253113,-0.048730846494436264,0.19427606463432312,0.4116005301475525,0.8250348567962646
2020,VAR_10V,0.2014288306236267,0.26543110609054565,-0.41611459851264954,-0.026275836396962404,0.19777671992778778,0.44318050146102905,0.7415504455566406
2021,VAR_10V,0.17768383026123047,0.304801344871521,-0.49208471179008484,-0.06589988060295582,0.15740667283535004,0.44331636279821396,0.774025559425354
